,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
261,West Germany,Czechoslovakia,2,2,draw,False,False,False,1958-06-11,Group Stage,Helsingborg,,1958
262,Paraguay,Scotland,3,2,home_team,False,False,False,1958-06-11,Group Stage,Norrkoping,,1958
263,Argentina,Northern Ireland,3,1,home_team,False,False,False,1958-06-11,Group Stage,Halmstad,,1958
264,Brazil,England,0,0,draw,False,False,False,1958-06-11,Group Stage,Gothenburg,,1958
265,Soviet Union,Austria,2,0,home_team,False,False,False,1958-06-11,Group Stage,Boras,,1958
266,Wales,Mexico,1,1,draw,False,False,False,1958-06-11,Group Stage,Stockholm,,1958
267,Sweden,Hungary,2,1,home_team,False,False,False,1958-06-12,Group Stage,Stockholm,,1958
268,West Germany,Northern Ireland,2,2,draw,False,False,False,1958-06-15,Group Stage,Malmo,,1958
269,Czechoslovakia,Argentina,6,1,home_team,False,False,False,1958-06-15,Group Stage,Helsingborg,,1958
270,Yugoslavia,Paraguay,3,3,draw,False,False,False,1958-06-15,Group Stage,Eskilstuna,,1958
271,France,Scotland,2,1,home_team,False,False,False,1958-06-15,Group Stage,Orebro,,1958
272,Sweden,Wales,0,0,draw,False,False,False,1958-06-15,Group Stage,Stockholm,,1958
273,Hungary,Mexico,4,0,home_team,False,False,False,1958-06-15,Group Stage,Sandviken,,1958
274,Brazil,Soviet Union,2,0,home_team,False,False,False,1958-06-15,Group Stage,Gothenburg,,1958
275,England,Austria,2,2,draw,False,False,False,1958-06-15,Group Stage,Boras,,1958
276,Northern Ireland,Czechoslovakia,2,1,home_team,False,False,False,1958-06-17,Group Stage,Malmo,,1958
277,Wales,Hungary,2,1,home_team,False,False,False,1958-06-17,Group Stage,Stockholm,,1958
278,Soviet Union,England,1,0,home_team,False,False,False,1958-06-17,Group Stage,Gothenburg,,1958
279,Sweden,Soviet Union,2,0,home_team,False,False,False,1958-06-19,Quarter-finals,Stockholm,,1958
280,West Germany,Yugoslavia,1,0,home_team,False,False,False,1958-06-19,Quarter-finals,Malmo,,1958
281,France,Northern Ireland,4,0,home_team,False,False,False,1958-06-19,Quarter-finals,Norrkoping,,1958
282,Brazil,Wales,1,0,home_team,False,False,False,1958-06-19,Quarter-finals,Gothenburg,,1958
283,Sweden,West Germany,3,1,home_team,False,False,False,1958-06-24,Semi-finals,Gothenburg,,1958
284,Brazil,France,5,2,home_team,False,False,False,1958-06-24,Semi-finals,Stockholm,,1958
285,France,West Germany,6,3,home_team,False,False,False,1958-06-28,Third Place,Gothenburg,,1958
286,Brazil,Sweden,5,2,home_team,False,False,False,1958-06-29,Final,Stockholm,,1958
287,Austria,Luxembourg,7,0,home_team,False,False,False,,Preliminary,Wien,,1958
288,Ireland,Denmark,2,1,home_team,False,False,False,,Preliminary,Dublin,,1958
289,France,Belgium,6,3,home_team,False,False,False,,Preliminary,Paris,,1958
290,England,Denmark,5,2,home_team,False,False,False,,Preliminary,Wolverhampton,,1958
291,Portugal,Northern Ireland,1,1,draw,False,False,False,,Preliminary,Lisboa,,1958
292,Guatemala,Costa Rica,2,6,away_team,False,False,False,,Preliminary,Guatemala,,1958
293,Costa Rica,Guatemala,3,1,home_team,False,False,False,,Preliminary,San José,,1958
294,Costa Rica,Curaçao,4,0,home_team,False,False,False,,Preliminary,San José,,1958
295,Sudan,Syria,1,0,home_team,False,False,False,,Preliminary,Khartoum,,1958
296,Spain,Switzerland,2,2,draw,False,False,False,,Preliminary,Madrid,,1958
297,Guatemala,Curaçao,1,3,away_team,False,False,False,,Preliminary,Guatemala,,1958
298,Netherlands,Luxembourg,4,1,home_team,False,False,False,,Preliminary,Rotterdam,,1958
299,Mexico,USA,6,0,home_team,False,False,False,,Preliminary,México DF,,1958
300,Peru,Brazil,1,1,draw,False,False,False,,Preliminary,Lima,,1958
