id_match,home_team,away_team,home_score,away_score,date,round,city,edition
257,Poland,Italy,2,1,1974-06-23,Group Stage,Stuttgart,1974
258,Netherlands,Argentina,4,0,1974-06-26,Group Stage,Gelsenkirchen,1974
259,Brazil,East Germany,1,0,1974-06-26,Group Stage,Hanover,1974
260,West Germany,Yugoslavia,2,0,1974-06-26,Group Stage,Dusseldorf,1974
261,Poland,Sweden,1,0,1974-06-26,Group Stage,Stuttgart,1974
262,Netherlands,East Germany,2,0,1974-06-30,Group Stage,Gelsenkirchen,1974
263,Brazil,Argentina,2,1,1974-06-30,Group Stage,Hanover,1974
264,West Germany,Poland,1,0,1974-06-30,Group Stage,Frankfurt,1974
265,Yugoslavia,Sweden,2,1,1974-06-30,Group Stage,Dusseldorf,1974
266,Netherlands,Brazil,2,0,1974-07-03,Group Stage,Dortmund,1974
267,Argentina,East Germany,1,1,1974-07-03,Group Stage,Gelsenkirchen,1974
268,West Germany,Sweden,4,2,1974-07-03,Group Stage,Dusseldorf,1974
269,Poland,Yugoslavia,2,1,1974-07-03,Group Stage,Frankfurt,1974
270,Brazil,Poland,0,1,1974-07-06,Third Place,Munich,1974
271,Netherlands,West Germany,1,2,1974-07-07,Final,Munich,1974
272,Argentina,Hungary,2,1,1978-06-02,Group Stage,Buenos Aires,1978
273,Italy,France,2,1,1978-06-02,Group Stage,Mar del Plata,1978
274,West Germany,Poland,0,0,1978-06-01,Group Stage,Buenos Aires,1978
275,Tunisia,Mexico,3,1,1978-06-02,Group Stage,Rosario,1978
276,Austria,Spain,2,1,1978-06-03,Group Stage,Buenos Aires,1978
277,Sweden,Brazil,1,1,1978-06-03,Group Stage,Mar del Plata,1978
278,Netherlands,Iran,3,0,1978-06-03,Group Stage,Mendoza,1978
279,Peru,Scotland,3,1,1978-06-03,Group Stage,Cordoba,1978
280,Argentina,France,2,1,1978-06-06,Group Stage,Buenos Aires,1978
281,Italy,Hungary,3,1,1978-06-06,Group Stage,Mar del Plata,1978
282,West Germany,Mexico,6,0,1978-06-06,Group Stage,Cordoba,1978
283,Poland,Tunisia,1,0,1978-06-06,Group Stage,Rosario,1978
284,Austria,Sweden,1,0,1978-06-07,Group Stage,Buenos Aires,1978
285,Spain,Brazil,0,0,1978-06-07,Group Stage,Mar del Plata,1978
286,Netherlands,Peru,0,0,1978-06-07,Group Stage,Mendoza,1978
287,Scotland,Iran,1,1,1978-06-07,Group Stage,Cordoba,1978
288,Italy,Argentina,1,0,1978-06-10,Group Stage,Buenos Aires,1978
289,France,Hungary,3,1,1978-06-10,Group Stage,Mar del Plata,1978
290,West Germany,Tunisia,0,0,1978-06-10,Group Stage,Cordoba,1978
291,Poland,Mexico,3,1,1978-06-10,Group Stage,Rosario,1978
292,Netherlands,Scotland,2,3,1978-06-11,Group Stage,Mendoza,1978
293,Peru,Iran,4,1,1978-06-11,Group Stage,Cordoba,1978
294,Brazil,Austria,1,0,1978-06-11,Group Stage,Mar del Plata,1978
295,Spain,Sweden,1,0,1978-06-11,Group Stage,Buenos Aires,1978
296,Netherlands,Austria,5,1,1978-06-14,Group Stage,Cordoba,1978
297,Italy,West Germany,0,0,1978-06-14,Group Stage,Buenos Aires,1978
298,Argentina,Poland,2,0,1978-06-14,Group Stage,Rosario,1978
299,Brazil,Peru,3,0,1978-06-14,Group Stage,Mendoza,1978
300,Netherlands,West Germany,2,2,1978-06-18,Group Stage,Cordoba,1978
301,Italy,Austria,1,0,1978-06-18,Group Stage,Buenos Aires,1978
302,Argentina,Brazil,0,0,1978-06-18,Group Stage,Rosario,1978
303,Poland,Peru,1,0,1978-06-18,Group Stage,Mendoza,1978
304,Netherlands,Italy,2,1,1978-06-21,Group Stage,Buenos Aires,1978
305,West Germany,Austria,2,3,1978-06-21,Group Stage,Cordoba,1978
306,Argentina,Peru,6,0,1978-06-21,Group Stage,Rosario,1978
307,Brazil,Poland,3,1,1978-06-21,Group Stage,Mendoza,1978
308,Brazil,Italy,2,1,1978-06-24,Third Place,Buenos Aires,1978
309,Argentina,Netherlands,3,1,1978-06-25,Final,Buenos Aires,1978
310,Italy,Poland,0,0,1982-06-14,Group Stage,Vigo,1982
311,Cameroon,Peru,0,0,1982-06-15,Group Stage,La Coruna,1982
312,Argentina,Belgium,0,1,1982-06-13,Group Stage,Barcelona,1982
313,Hungary,El Salvador,10,1,1982-06-15,Group Stage,Elche,1982
314,West Germany,Algeria,1,2,1982-06-16,Group Stage,Gijon,1982
315,Austria,Chile,1,0,1982-06-17,Group Stage,Oviedo,1982
316,Spain,Honduras,1,1,1982-06-16,Group Stage,Valencia,1982
317,Yugoslavia,Northern Ireland,0,0,1982-06-17,Group Stage,Zaragoza,1982
318,England,France,3,1,1982-06-16,Group Stage,Bilbao,1982
319,Czechoslovakia,Kuwait,1,1,1982-06-17,Group Stage,Valladolid,1982
320,Brazil,Soviet Union,2,1,1982-06-14,Group Stage,Seville,1982
321,Scotland,New Zealand,5,2,1982-06-15,Group Stage,Malaga,1982
322,Italy,Peru,1,1,1982-06-18,Group Stage,Vigo,1982
323,Cameroon,Poland,0,0,1982-06-19,Group Stage,La Coruna,1982
324,Argentina,Hungary,4,1,1982-06-18,Group Stage,Alicante,1982
325,Belgium,El Salvador,1,0,1982-06-19,Group Stage,Elche,1982
326,West Germany,Chile,4,1,1982-06-20,Group Stage,Gijon,1982
327,Austria,Algeria,2,0,1982-06-21,Group Stage,Oviedo,1982
328,Yugoslavia,Spain,2,1,1982-06-20,Group Stage,Valencia,1982
329,Honduras,Northern Ireland,1,1,1982-06-21,Group Stage,Zaragoza,1982
330,England,Czechoslovakia,2,0,1982-06-20,Group Stage,Bilbao,1982
331,France,Kuwait,4,1,1982-06-21,Group Stage,Valladolid,1982
332,Brazil,Scotland,4,1,1982-06-18,Group Stage,Seville,1982
333,Soviet Union,New Zealand,3,0,1982-06-19,Group Stage,Malaga,1982
334,Italy,Cameroon,1,1,1982-06-23,Group Stage,Vigo,1982
335,Poland,Peru,5,1,1982-06-22,Group Stage,La Coruna,1982
336,Argentina,El Salvador,2,0,1982-06-23,Group Stage,Alicante,1982
337,Belgium,Hungary,1,1,1982-06-22,Group Stage,Elche,1982
338,West Germany,Austria,1,0,1982-06-25,Group Stage,Gijon,1982
339,Chile,Algeria,3,2,1982-06-24,Group Stage,Oviedo,1982
340,Yugoslavia,Honduras,1,0,1982-06-24,Group Stage,Zaragoza,1982
341,Spain,Northern Ireland,0,1,1982-06-25,Group Stage,Valencia,1982
342,England,Kuwait,1,0,1982-06-25,Group Stage,Bilbao,1982
343,France,Czechoslovakia,1,1,1982-06-24,Group Stage,Valladolid,1982
344,Brazil,New Zealand,4,0,1982-06-23,Group Stage,Seville,1982
345,Soviet Union,Scotland,2,2,1982-06-22,Group Stage,Malaga,1982
346,Poland,Belgium,3,0,1982-06-28,Group Stage,Barcelona,1982
347,Soviet Union,Belgium,1,0,1982-07-01,Group Stage,Barcelona,1982
348,Poland,Soviet Union,0,0,1982-07-04,Group Stage,Barcelona,1982
349,West Germany,England,0,0,1982-06-29,Group Stage,Madrid,1982
350,West Germany,Spain,2,1,1982-07-02,Group Stage,Madrid,1982
351,England,Spain,0,0,1982-07-05,Group Stage,Madrid,1982
352,Italy,Argentina,2,1,1982-06-29,Group Stage,Barcelona,1982
353,Brazil,Argentina,3,1,1982-07-02,Group Stage,Barcelona,1982
354,Italy,Brazil,3,2,1982-07-05,Group Stage,Barcelona,1982
355,France,Austria,1,0,1982-06-28,Group Stage,Madrid,1982
356,Northern Ireland,Austria,2,2,1982-07-01,Group Stage,Madrid,1982
357,France,Northern Ireland,4,1,1982-07-04,Group Stage,Madrid,1982
358,Poland,France,3,2,1982-07-08,Semi-finals,Seville,1982
359,West Germany,France,3,3,1982-07-08,Semi-finals,Seville,1982
360,Italy,Poland,2,0,1982-07-08,Semi-finals,Barcelona,1982
361,Poland,France,3,2,1982-07-10,Third Place,Alicante,1982
362,Italy,West Germany,3,1,1982-07-11,Final,Madrid,1982
363,Bulgaria,Italy,1,1,1986-05-31,Group Stage,Mexico City,1986
